id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
562808,Standard Mixed Dorm Bed#4,2767794,Check Inn HK,,Wan Chai,22.277621214440543,114.17624144021767,Shared room,283,1,13,2017-12-19,0.39,20,362
562817,Standard Mixed Dorm Bed#A,2767794,Check Inn HK,,Wan Chai,22.27706377289324,114.175890890162,Shared room,283,1,117,2018-08-11,1.59,20,336
562822,Studio w/ private kit. & bath. (B) ,2767759,Alfred,,Wan Chai,22.279176119839644,114.18596968122307,Entire home/apt,652,90,11,2013-03-02,0.15,17,365
562840,Standard Mixed Dorm Bed#B,2767794,Check Inn HK,,Wan Chai,22.277594384529138,114.17671059586847,Shared room,283,1,24,2018-04-05,0.33,20,364
562859,Grand convenient studio! (C),2767759,Alfred,,Wan Chai,22.279139839823674,114.18471598154782,Entire home/apt,597,120,3,2012-12-11,0.04,17,318
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.253861330910095,113.86400167093457,Private room,1845,1,3,2018-05-01,0.08,4,4
585981,3 Bedrooms (SK3) Centrally located ,1529119,Eric,,Wan Chai,22.278905996908737,114.1716586727611,Entire home/apt,1633,3,160,2018-08-12,2.18,2,316
586083,Budget Studio1-5p Tsim Sha Tsui MTR,1991696,Gigi,,Yau Tsim Mong,22.29846036522444,114.17233495869905,Entire home/apt,447,1,251,2018-07-22,3.44,3,257
597390,"HoiShing Hotel, Jordan, Kowloon, HK",2953879,Biosze,,Yau Tsim Mong,22.304948718092884,114.17253263418405,Private room,447,1,22,2017-08-30,0.31,8,361
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.255926452028476,113.86182674263169,Private room,1154,1,18,2017-12-26,0.35,4,10
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.254370864741716,113.8637006280857,Private room,879,1,12,2018-06-12,0.20,4,13
603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,Veronica,,Islands,22.254092752469784,113.86228354922362,Private room,636,1,42,2018-06-17,0.71,4,10
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,,Islands,22.293776130815782,114.01457701650631,Entire home/apt,1499,2,15,2017-12-26,0.27,1,2
604953,"3BR SEAVIEW, AIRPORT & DISNEY  LATE SELF CHK-IN",530880,Jennifer,,Islands,22.30631442922145,114.00861879034488,Entire home/apt,1648,1,119,2018-08-07,1.63,2,138
621305,NEW Cozy APT 4 mins to Mong Kok MTR,3079511,Bonnie,,Yau Tsim Mong,22.315005546890585,114.16906761255325,Entire home/apt,761,1,329,2018-08-12,4.49,4,263
622020,Bright 1-bdrm apt in Sheung Wan HKG,3073447,Sarah,,Central & Western,22.283866210813834,114.14753391214988,Entire home/apt,1201,5,28,2016-03-23,0.39,1,0
628303,Apartment F causeway bay,2767759,Alfred,,Wan Chai,22.28062781721818,114.1863803480243,Entire home/apt,597,120,9,2013-03-17,0.12,17,236
632320,Quiet Studio Flat Near Beach,694068,Cecilie,,Islands,22.24304799301178,113.97582813038642,Entire home/apt,502,2,162,2017-12-31,2.23,2,167
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.278111041317324,114.1735384290804,Entire home/apt,997,180,19,2013-08-31,0.26,1,365
645311,Amazing Apt (HH) in heart of HK,1452499,Sally,,Wan Chai,22.278895182239257,114.1720866863168,Entire home/apt,1554,3,155,2018-08-04,2.23,7,303
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.326174418510664,114.16459201009486,Shared room,220,1,110,2018-08-12,1.53,6,144
645950,"Ladies Street, 2 BR, MongKok MTR",3052154,John,,Yau Tsim Mong,22.3162911388797,114.17060451840463,Entire home/apt,816,4,137,2018-03-02,1.89,3,161
646645,Creative Residence. Private Room,634820,Wontonmeen,,Sham Shui Po,22.33096285765966,114.16429020984201,Private room,447,1,35,2018-04-11,0.48,6,352
655190, TimesSquare  1min away! 1BdRm Aprt,808933,J,,Wan Chai,22.278707873376085,114.18142185994463,Entire home/apt,699,2,149,2018-07-29,2.12,7,125
668338,"Clean 5mins to MTR walk up 1f, Rm 1",3383055,Kiki,,Yau Tsim Mong,22.3112750556478,114.16836450931288,Private room,298,1,100,2018-01-22,1.39,10,348
669310,Great apt in Central HK 1min to mtr,2083001,Krystal & Ryan,,Central & Western,22.2861605571736,114.15247380270188,Entire home/apt,879,2,131,2018-08-15,2.45,5,332
672039,"Clean 5mins to MTR walk up 1f, Rm 2",3383055,Kiki,,Yau Tsim Mong,22.310080728814917,114.17025949759021,Private room,353,1,144,2018-07-12,2.01,10,342
682768,"Clean 5mins to MTR walk up 1f, Rm 3",3383055,Kiki,,Yau Tsim Mong,22.309416587184785,114.1684975953815,Private room,298,1,117,2018-06-18,1.64,10,346
682794,"Clean 5mins to MTR walk up 1f, Rm 4",3383055,Kiki,,Yau Tsim Mong,22.311454543234372,114.16844692075021,Private room,298,1,129,2018-06-09,1.83,10,327
682797,"Clean 5mins to MTR walk up 1f, Rm 5",3383055,Kiki,,Yau Tsim Mong,22.310818044244073,114.17002883545796,Private room,298,1,195,2018-08-01,2.72,10,246
685373,@CausewayBayMTR/TimeSq.★Near HKCEC ,3495738,Carmen,,Wan Chai,22.280199856219532,114.17931394368,Entire home/apt,1162,3,102,2017-12-25,1.42,1,249
698537,Lamma Island - Home away from Home,3580728,Kate,,Islands,22.224983911595448,114.11338179099755,Entire home/apt,989,3,53,2018-08-12,0.74,1,353
711099,Living with a local family,3659684,MiMi,,Yuen Long,22.43497267174108,114.00188087830891,Shared room,400,28,0,,,1,365
